Full Texts,ID,Name,Email,Phone,Address,Age,Gender,Category,Budget,Payment Method,Password,Created At
User Lagan Dey prefers shopping for Electronics with a budget of ₹8961.65.,21,Lagan Dey,nakul57@kata-basak.com,0419081754,Madhya Pradesh,59,Male,Electronics,8961.65,Cash on Delivery,a90438a2ea463c23683265a3574979d5dc399b59b2c5e89b6400d540c860b7b1,2025-03-17 17:55:01
User Kanav Borah prefers shopping for Others with a budget of ₹15795.52.,22,Kanav Borah,rashakorpal@yahoo.com,+918986368,Gujarat,60,Female,Others,15795.52,Debit Card,c43f5cf42d53c6e737b997c9211c776af5cd4a456ac0f0d28f84b23f977981e8,2025-03-07 17:55:01
User Nakul Saxena prefers shopping for Clothing with a budget of ₹14050.83.,23,Nakul Saxena,desaitaran@yahoo.com,+911583856,Goa,21,Male,Clothing,14050.83,Debit Card,e2470eb2606797123d580b8e2345f6580e8de894bd240a61bcc814f6f33560da,2025-03-15 17:55:01
User Diya Shenoy prefers shopping for Beauty with a budget of ₹48945.11.,24,Diya Shenoy,jayanbalan@hotmail.com,0405423751,Madhya Pradesh,53,Female,Beauty,48945.11,Debit Card,7a7ec02915aea4a04a9e64f63dc1316a520a1ad316081353ee516d546800d877,2025-03-02 17:55:01
User Siya Hans prefers shopping for Others with a budget of ₹14089.03.,25,Siya Hans,prishakrish@yahoo.com,0762212322,West Bengal,21,Male,Others,14089.03,Credit Card,77e098cf6efd262d898bfeb4ac573caa33d4a85eefa939c9703864bb3df61136,2025-03-03 17:55:01
User Saanvi Sangha prefers shopping for Home & Kitchen with a budget of ₹34453.19.,26,Saanvi Sangha,oedwin@thakkar.info,8127757283,Rajasthan,39,Male,Home & Kitchen,34453.19,Debit Card,9784e578de7a5cdbc885f6fc4af967cb0f231fd2b3670578acac317d77bb9bcb,2025-03-25 17:55:01
User Jiya Sinha prefers shopping for Others with a budget of ₹7125.8.,27,Jiya Sinha,pkhare@srivastava.com,+914160185,Haryana,23,Male,Others,7125.8,Debit Card,ce0ca497ec88e38cbc4226248c94aa9f37c06d5d7b60616685e6240455ec4f7a,2025-03-12 17:55:01
User Charvi Sachar prefers shopping for Others with a budget of ₹11208.33.,28,Charvi Sachar,hazel66@hotmail.com,2239726164,Maharashtra,33,Male,Others,11208.33,PayPal,6ccdf4f6e6b731ea4f432442e60a657f093df6579ba3fedac0a2f36ca7f26b03,2025-03-16 17:55:01
User Adira Srinivas prefers shopping for Beauty with a budget of ₹9615.71.,29,Adira Srinivas,nirvibajwa@chahal.com,2795994910,Rajasthan,38,Female,Beauty,9615.71,UPI,90469a56596b09507122a8cb3df780d9e5e8dac07f0f957b5989ac1f76ff3bfd,2025-03-31 17:55:01
User Nirvaan Khanna prefers shopping for Beauty with a budget of ₹5693.49.,30,Nirvaan Khanna,yratta@loyal-wagle.org,0126363736,Gujarat,54,Female,Beauty,5693.49,UPI,a7c24c8a55b90296c82f7f4fae5383e30861a6107883e502e0a23b947aaba07b,2025-03-13 17:55:01
User Darshit Srinivas prefers shopping for Books with a budget of ₹32398.7.,31,Darshit Srinivas,vmammen@gmail.com,0705875638,Madhya Pradesh,37,Female,Books,32398.7,Debit Card,c4894b17ebb50fcf4292fe07e4872b98ec740ed0acb4ffca9f84817de54f5637,2025-03-03 17:55:01
User Faiyaz Thaman prefers shopping for Electronics with a budget of ₹37718.39.,32,Faiyaz Thaman,rbhandari@uppal.net,7276784902,Goa,31,Male,Electronics,37718.39,Cash on Delivery,e7f3a85d8117b6b8be6785d5882e5504fecb328bae18ac5d89ac83b9faa50f15,2025-03-27 17:55:01
User Saira Dasgupta prefers shopping for Beauty with a budget of ₹36744.31.,33,Saira Dasgupta,dhanush62@choudhry.com,+914566074,Uttar Pradesh,48,Female,Beauty,36744.31,Credit Card,c21f5e63de16fe191e3adf4be5bb9a01fbf1181f1c340af708cee8664878fd95,2025-03-15 17:55:01
User Adah Mangat prefers shopping for Clothing with a budget of ₹39615.41.,34,Adah Mangat,lrastogi@korpal.org,0400744201,Maharashtra,57,Female,Clothing,39615.41,Debit Card,96ab71d2711b0c282a5ee2831f8153b583d609a169475384ea09d7bec3bde0bb,2025-03-18 17:55:01
User Adira Koshy prefers shopping for Beauty with a budget of ₹22215.68.,35,Adira Koshy,varkeykartik@sathe.info,+915887322,Haryana,28,Male,Beauty,22215.68,Debit Card,48aa29f1919cc538aaaf5ae9f3389ac8879602942c2f070d5821be0545383e8c,2025-03-05 17:55:01
User Elakshi Goel prefers shopping for Books with a budget of ₹28245.25.,36,Elakshi Goel,tejas96@hotmail.com,+917164089,Maharashtra,22,Female,Books,28245.25,PayPal,479cf7a2b0bfb4eb9be79ec5f94b9382509ee954bbcad0ef42fc80aa552264a2,2025-03-21 17:55:01
User Ranbir Ramachandran prefers shopping for Clothing with a budget of ₹9042.66.,37,Ranbir Ramachandran,dhardivit@hotmail.com,1820189266,Rajasthan,59,Male,Clothing,9042.66,Cash on Delivery,daf4ffdc0ee167cbf4eb881f610bbfa5969e9a4cfb1036179fab2fcc8fc17560,2025-03-08 17:55:01
User Aarush Zacharia prefers shopping for Clothing with a budget of ₹4947.08.,38,Aarush Zacharia,myra43@hotmail.com,0956802741,Goa,49,Female,Clothing,4947.08,Debit Card,5d8258faf3d1a8783545409f3c488fe067556be04b4d791c081fa209b920edce,2025-03-30 17:55:01
User Vihaan Sur prefers shopping for Clothing with a budget of ₹27827.92.,39,Vihaan Sur,arnav28@yadav.com,2385722411,Madhya Pradesh,38,Female,Clothing,27827.92,Credit Card,20aea963ab033bea7aaaa6948b4c9b70c1797cf1afd475911a8f96ca2de584a8,2025-03-23 17:55:01
User Samarth Sarkar prefers shopping for Books with a budget of ₹48199.8.,40,Samarth Sarkar,chadaromil@sami.biz,0063543493,Uttar Pradesh,36,Female,Books,48199.8,PayPal,16db284f60a01e371681bb1726564860e403a8e3680640157a189130402e8600,2025-03-14 17:55:01
User Indrajit Chaudry prefers shopping for Books with a budget of ₹8854.36.,41,Indrajit Chaudry,eagrawal@hotmail.com,3725732438,Delhi,53,Female,Books,8854.36,UPI,a19787c2c748a5b1a9841738a70948768ebcd7b7d2fd20ee7a7efe150a0786f3,2025-03-26 17:55:01
User Navya Karnik prefers shopping for Beauty with a budget of ₹31286.33.,42,Navya Karnik,krishthaman@sidhu.com,+918993043,Tamil Nadu,26,Female,Beauty,31286.33,PayPal,7ab6b49e1e833277a0d26b8f8c27d69e2a11b4dd134ec9cbc187cf811ba015bb,2025-03-28 17:55:01
User Kiaan Maharaj prefers shopping for Beauty with a budget of ₹7327.66.,43,Kiaan Maharaj,jayansabharwal@bora.com,3358798075,Haryana,26,Male,Beauty,7327.66,PayPal,b83707e0036ad2e604fa2cc136327dc8b4c98fca36661cdad09c61587a396d94,2025-03-10 17:55:01
User Hiran Balay prefers shopping for Beauty with a budget of ₹28487.99.,44,Hiran Balay,ramanathanmiraan@hotmail.com,0798432631,Goa,23,Male,Beauty,28487.99,Credit Card,10b723156fc4178abee316e46a618c1c36097a97f80c353c65938432e57e6020,2025-03-30 17:55:01
User Dharmajan Sahota prefers shopping for Home & Kitchen with a budget of ₹17839.48.,45,Dharmajan Sahota,svyas@hotmail.com,0665102920,Punjab,26,Female,Home & Kitchen,17839.48,Cash on Delivery,5cad966dc12e61d0d7a0a7c52f4857fa55c1dd5663e68456455a8045140d3132,2025-03-11 17:55:01
User Jhanvi Shukla prefers shopping for Home & Kitchen with a budget of ₹27935.97.,46,Jhanvi Shukla,bchander@gmail.com,+911448344,Delhi,57,Male,Home & Kitchen,27935.97,Credit Card,77d8f06414049fc9e5e421615a0cc01d7f3ade6a633c8e1a17a3ea69f52a80ca,2025-03-27 17:55:01
User Hunar Rana prefers shopping for Electronics with a budget of ₹29431.2.,47,Hunar Rana,aravi@wali.org,6426016586,Karnataka,32,Male,Electronics,29431.2,Credit Card,120b7636afcd449b5923b4536c8d2024c3d23eb457a01cfb35b54932efe6cb3c,2025-03-12 17:55:01
User Vanya Ravi prefers shopping for Others with a budget of ₹27227.98.,48,Vanya Ravi,kartikgour@gmail.com,+910224014,Madhya Pradesh,54,Male,Others,27227.98,UPI,b58faa27fcc5aae1ea00efe86c89580a50536d67060493dda5cb1423f2975f23,2025-03-16 17:55:01
User Tanya Lad prefers shopping for Books with a budget of ₹40785.78.,49,Tanya Lad,zeeshan64@lal.com,9544979592,Madhya Pradesh,58,Female,Books,40785.78,PayPal,c29f79e8b6c9b4bce215ec4a74080dd4880ac8bd300c6e53cb4a52b79ecd3cdc,2025-03-30 17:55:01
User Biju Vala prefers shopping for Others with a budget of ₹36581.57.,50,Biju Vala,shashlok@gmail.com,0045509186,Haryana,21,Female,Others,36581.57,Credit Card,298b47a5b4b94f91c48067728de1ed38baf5338f5446ad8ac8b6ccdfac342157,2025-03-28 17:55:01
User Ahana  Sankar prefers shopping for Home & Kitchen with a budget of ₹17008.51.,51,Ahana  Sankar,keyagoda@sem.com,+915734021,Gujarat,43,Male,Home & Kitchen,17008.51,Cash on Delivery,e5c0127140347575ecdfd99eb4e3ddee51a31e8d39e18740713565cd38d1e6eb,2025-03-20 17:55:01
User Myra Thakkar prefers shopping for Books with a budget of ₹33675.13.,52,Myra Thakkar,dattamisha@yahoo.com,0210264079,West Bengal,58,Male,Books,33675.13,Cash on Delivery,96eec398043bc48a1a0162f9ed41a914d3d458e64e8c3ac648492fa165c6b39d,2025-03-29 17:55:01
User Lakshay Sarraf prefers shopping for Clothing with a budget of ₹31816.64.,53,Lakshay Sarraf,dbadami@hotmail.com,+918117950,Rajasthan,19,Female,Clothing,31816.64,Credit Card,00b94bb1d56ef24c5de82ca5c8c7a17d1ac55ceb9a005dc212bf33370493e836,2025-03-14 17:55:01
User Dishani Dora prefers shopping for Others with a budget of ₹11785.58.,54,Dishani Dora,chandranfaiyaz@chahal-bawa.com,6303587840,Karnataka,19,Male,Others,11785.58,PayPal,b0072f01afe6c4b263445ab163f7eecc670f5ee8c10025f4365800ad2d62c7b3,2025-03-24 17:55:01
User Neysa Arora prefers shopping for Electronics with a budget of ₹12121.39.,55,Neysa Arora,sidhurhea@shankar-jayaraman.org,0658840108,Rajasthan,40,Female,Electronics,12121.39,UPI,eeccbe5627b3a64eabe8308bc7e588933554ad076117ac16e1000cd4cd9e368d,2025-03-07 17:55:01
User Ivana Ravel prefers shopping for Books with a budget of ₹30451.27.,56,Ivana Ravel,ubora@hotmail.com,2589171008,Uttar Pradesh,60,Male,Books,30451.27,Debit Card,2a19872e5928903f5b7eeb77bee730eb459383ae0fca4ab95c75b59ce9eaa5ac,2025-03-04 17:55:01
User Kiara Raj prefers shopping for Others with a budget of ₹42421.4.,57,Kiara Raj,kalaranbir@yahoo.com,+916632156,Gujarat,41,Female,Others,42421.4,Debit Card,9c7c65eb875271819f3e17095d890876437b7cd222b10a98cda23dcecd8a1add,2025-03-12 17:55:01
User Romil Sharaf prefers shopping for Home & Kitchen with a budget of ₹5337.28.,58,Romil Sharaf,vardaniyadas@gmail.com,+917719078,Haryana,33,Male,Home & Kitchen,5337.28,UPI,5eb8a73f9e03dee566dca636f648f7e3d344c9d68697322d9a8a217cf4390b53,2025-03-04 17:55:01
User Kashvi Bhalla prefers shopping for Beauty with a budget of ₹15943.62.,59,Kashvi Bhalla,taran78@chaudhary.biz,0586162386,Uttar Pradesh,33,Male,Beauty,15943.62,PayPal,9eb3a67b51e60d17349a842d34eaab16ee0bd97bdb68a2a81f5c953d951cb881,2025-03-29 17:55:01
User Kanav Sarkar prefers shopping for Others with a budget of ₹27310.96.,60,Kanav Sarkar,ira69@gmail.com,0823406674,Haryana,40,Female,Others,27310.96,PayPal,e1aa621eb92f51916cfda978075c0507612789c99fe661f1a93da1dfb326c6ad,2025-04-01 17:55:01
User Amani Kapoor prefers shopping for Beauty with a budget of ₹32120.7.,61,Amani Kapoor,qkar@yahoo.com,7489358391,Goa,29,Male,Beauty,32120.7,Debit Card,83887ca5c6f1f227f9dda96e82533bbf6bac762215475919854249264ba75e7d,2025-03-18 17:55:01
User Onkar Sastry prefers shopping for Beauty with a budget of ₹16544.66.,62,Onkar Sastry,dadasiya@yahoo.com,5556043761,Uttar Pradesh,35,Female,Beauty,16544.66,Credit Card,0d5dc3cb2a4fb0db02083a7ff0bdd53101ea7c7c122dde54eb0685b87671f816,2025-04-01 17:55:01
User Nayantara Ganesan prefers shopping for Books with a budget of ₹10812.25.,63,Nayantara Ganesan,raghav00@dhillon.net,3343200032,Delhi,43,Male,Books,10812.25,Cash on Delivery,4a5acbdbc222070f0590daa747c58859f2307d717c8759eecec69083d0cc3053,2025-03-04 17:55:01
User Tanya Savant prefers shopping for Home & Kitchen with a budget of ₹9787.51.,64,Tanya Savant,ramaswamyanahita@shankar.info,0170166382,Rajasthan,31,Female,Home & Kitchen,9787.51,UPI,41cd013ae0054e1f7b13a2e5d860fb7c7e85473d435f7c9a4daa251005c4da38,2025-03-20 17:55:01
User Ayesha Rege prefers shopping for Books with a budget of ₹33757.25.,65,Ayesha Rege,vardaniyamandal@dhingra-chakraborty.com,0307550905,Tamil Nadu,43,Male,Books,33757.25,PayPal,a7b59f47b5a5c0dac7c81627384b926b05981b21c67882b190617c28cfe8cb1b,2025-03-21 17:55:01
User Trisha Chaudhari prefers shopping for Beauty with a budget of ₹2681.06.,66,Trisha Chaudhari,kalavedika@yahoo.com,0081904248,Goa,42,Female,Beauty,2681.06,Cash on Delivery,aff94f295e030ca364a0d0962ccc4508483f7464160114800f0db6463dd8a492,2025-03-19 17:55:01
User Rati Zacharia prefers shopping for Others with a budget of ₹10304.7.,67,Rati Zacharia,hdesai@gmail.com,3191112353,Punjab,24,Female,Others,10304.7,Debit Card,591c10f3a076badc1b4296a3bb5c352217ec9f3c8be2bcf325da7d32745a1cd7,2025-03-29 17:55:01
User Damini Shukla prefers shopping for Others with a budget of ₹23398.67.,68,Damini Shukla,aarav25@hotmail.com,+914906982,Haryana,19,Female,Others,23398.67,Debit Card,925f5411de7ed55fe7b2f09b7c7e4c04e6ec2fceb45f25f5cd4e892ddb6d2a5c,2025-03-05 17:55:01
User Zain Sankar prefers shopping for Clothing with a budget of ₹28130.03.,69,Zain Sankar,ivanaanne@sampath.com,+917426018,Rajasthan,33,Male,Clothing,28130.03,Debit Card,dbeafe8b3ab9da72f4e00c6381fb5e620ff0aa3382a8ea55123390f6a4e3b9c4,2025-03-25 17:55:01
User Kartik Agarwal prefers shopping for Books with a budget of ₹28978.1.,70,Kartik Agarwal,divyansh75@kohli.info,+914298294,Uttar Pradesh,39,Male,Books,28978.1,PayPal,8be96fabe86fc38c2213058ea5a7c7fbe32d1c8c9cae44757e88f0ac69d8740e,2025-03-25 17:55:01
User Eshani Singh prefers shopping for Clothing with a budget of ₹39420.32.,71,Eshani Singh,anayakumar@khosla.com,+911390302,Rajasthan,49,Female,Clothing,39420.32,UPI,d7fe0bfc0e9b54789004124b98142e379c725175a1a8e275d3c6ed88b8fb0fc3,2025-03-21 17:55:01
User Dharmajan Sharma prefers shopping for Clothing with a budget of ₹22379.85.,72,Dharmajan Sharma,tejas83@mahajan-sinha.com,+915095953,Punjab,28,Female,Clothing,22379.85,Debit Card,c75e03edbe27ba3313ecef56e8129211bbee3171345623397d45cc20df5f1132,2025-03-06 17:55:01
User Khushi Ramachandran prefers shopping for Home & Kitchen with a budget of ₹37094.03.,73,Khushi Ramachandran,hanshbhardwaj@yahoo.com,+919809691,Haryana,23,Female,Home & Kitchen,37094.03,UPI,baace04adcfe882f7db43df61986f55da5a0740a654e51cc3ff02dfccf7101a6,2025-03-22 17:55:01
User Dhanush Verma prefers shopping for Clothing with a budget of ₹33587.61.,74,Dhanush Verma,jayant69@sampath.net,0460492577,Gujarat,58,Male,Clothing,33587.61,PayPal,aa32df59b6bc42889e6bca975f0dee27fd01a787f128430d961782f6d2172ae2,2025-03-20 17:55:01
User Khushi Doshi prefers shopping for Clothing with a budget of ₹31238.5.,75,Khushi Doshi,dhanush21@sahota.com,+912678818,Rajasthan,46,Female,Clothing,31238.5,Debit Card,b98707a9b68d39ce5fe591b7826857dd3f0f680a18dca324edf4e81e507e88af,2025-03-19 17:55:01
User Arnav Kumar prefers shopping for Others with a budget of ₹44997.44.,76,Arnav Kumar,uthkarsh71@jayaraman.biz,0654655852,Madhya Pradesh,50,Female,Others,44997.44,Debit Card,5fb3b90ac4382324783525f7f49a3fc9757f247b5a1f44ff93c7a5067daa08e5,2025-03-11 17:55:01
User Shamik Zacharia prefers shopping for Beauty with a budget of ₹15267.96.,77,Shamik Zacharia,alisha10@yahoo.com,0543795696,West Bengal,55,Female,Beauty,15267.96,PayPal,be74d40b829939b4052579139a4a6a58781c085c0461e8396558060002164b90,2025-03-14 17:55:01
User Arhaan Kade prefers shopping for Home & Kitchen with a budget of ₹13444.56.,78,Arhaan Kade,indransdhaliwal@hotmail.com,+915558814,Tamil Nadu,38,Male,Home & Kitchen,13444.56,UPI,e6247ec696e3e73a7e473e03cc7d5829c904725416775b0ed6a6b41ecf42b8bd,2025-03-24 17:55:01
User Divit Karnik prefers shopping for Others with a budget of ₹31182.52.,79,Divit Karnik,mtank@gmail.com,4848313426,Uttar Pradesh,41,Female,Others,31182.52,PayPal,bf18e592d50d32f4c08bedbeb194005954e098b01feda7ab2d8abeb357a825b1,2025-03-09 17:55:01
User Nayantara Karan prefers shopping for Others with a budget of ₹45777.34.,80,Nayantara Karan,ehsaan05@gmail.com,0692947746,Madhya Pradesh,25,Female,Others,45777.34,Cash on Delivery,b1b108b54b1a1b3c12546ef3896d8296b7f5865670a688648551ef5296f4e051,2025-03-20 17:55:01
User Vihaan Bose prefers shopping for Books with a budget of ₹36252.63.,81,Vihaan Bose,neysa93@hotmail.com,2831983152,West Bengal,42,Female,Books,36252.63,Debit Card,af2b78ce18234ec5db5fb5405efe045fcd50fb8a9a20446f2193b9d6037a0205,2025-03-10 17:55:01
User Tushar Baria prefers shopping for Clothing with a budget of ₹30770.07.,82,Tushar Baria,ckuruvilla@hotmail.com,2059610335,West Bengal,58,Female,Clothing,30770.07,PayPal,110a1d2a0bdb2374bdaa6ea5e6591b3da39d38ab525713c752efd44c9c2bbd96,2025-03-08 17:55:01
User Samiha Zacharia prefers shopping for Beauty with a budget of ₹5574.08.,83,Samiha Zacharia,sbadami@khanna.info,0316632299,Uttar Pradesh,49,Female,Beauty,5574.08,Credit Card,55b9db639d1cf59a7af9391461f011479d69356c7426dc3357173f22f86a6da1,2025-03-12 17:55:01
User Shayak Borde prefers shopping for Others with a budget of ₹14421.11.,84,Shayak Borde,qbuch@gmail.com,0767439927,Delhi,53,Male,Others,14421.11,UPI,8238f2962c6ef86d8c7f99e7d83201f7f2f563c7a91995f75b453ffab09ee1c9,2025-03-08 17:55:01
User Jayan Chaudhari prefers shopping for Home & Kitchen with a budget of ₹37675.39.,85,Jayan Chaudhari,vermamanikya@tara.com,0300910647,Karnataka,49,Female,Home & Kitchen,37675.39,Debit Card,cb71ac45d8683dfc15800ff4cde1e861ec981fd9da415be62a5237ff59a90517,2025-03-14 17:55:01
User Jhanvi Kadakia prefers shopping for Clothing with a budget of ₹1561.14.,86,Jhanvi Kadakia,duttarhaan@hotmail.com,0875692720,Haryana,36,Female,Clothing,1561.14,Cash on Delivery,8a92d01af5fae8cb96eb9ab84c552522573a0e8103741961c7aa76bb98c27994,2025-03-22 17:55:01
User Jayan Bala prefers shopping for Home & Kitchen with a budget of ₹32516.85.,87,Jayan Bala,biswasnirvi@hotmail.com,1116547719,Goa,23,Male,Home & Kitchen,32516.85,Cash on Delivery,0b6a3a86304d6320b4de6eb5b84f1858badbcc502f757f7e00afaa3a088d85f1,2025-03-13 17:55:01
User Anay Dey prefers shopping for Clothing with a budget of ₹6814.31.,88,Anay Dey,divyansh62@badami.com,2118994549,Punjab,39,Male,Clothing,6814.31,Debit Card,92ec42bae1bf7b4a3d01484d1218b025763f369af465d8492789f0efa6b00c4e,2025-03-15 17:55:01
User Kashvi Mand prefers shopping for Clothing with a budget of ₹24094.67.,89,Kashvi Mand,hiranshetty@yahoo.com,0175268906,Punjab,42,Female,Clothing,24094.67,PayPal,65d1d9320b6da15c4d91439620a3c19657e3c38f2f1f1c0f906523f9776254f5,2025-03-26 17:55:01
User Saanvi Suresh prefers shopping for Electronics with a budget of ₹41935.38.,90,Saanvi Suresh,prerakdeshpande@yahoo.com,+911167467,Haryana,60,Male,Electronics,41935.38,Debit Card,4350f1daa3d47608d2d2e8033e83bb47ed59956913d9cb3440842b11edbd32f6,2025-03-12 17:55:01
User Yasmin Dey prefers shopping for Home & Kitchen with a budget of ₹49917.62.,91,Yasmin Dey,bijusarin@yahoo.com,0087242015,Delhi,60,Female,Home & Kitchen,49917.62,Debit Card,75e8c91ebbaf41afea9a4e432169b44c9ccca85e1e10fdc695beb7b0dbecc066,2025-03-06 17:55:01
User Lagan Edwin prefers shopping for Clothing with a budget of ₹34768.31.,92,Lagan Edwin,basaktiya@yahoo.com,+917761191,Uttar Pradesh,22,Male,Clothing,34768.31,Debit Card,d9bb297aa816755d277424a07eff43261136e07a7ac02da3edf321a9dc83a54e,2025-03-14 17:55:01
User Hrishita Bhatt prefers shopping for Home & Kitchen with a budget of ₹1816.51.,93,Hrishita Bhatt,fmallick@apte-bora.com,+911017381,Punjab,45,Female,Home & Kitchen,1816.51,UPI,4085bb3e85766f98420ce20d4b4ae1cd5ba02bae4941ad5b5d3ab7bad2795a51,2025-03-14 17:55:01
User Zain Chandran prefers shopping for Electronics with a budget of ₹14799.69.,94,Zain Chandran,charvi01@yahoo.com,0048490472,West Bengal,43,Female,Electronics,14799.69,Debit Card,6fd9b1d2160f6a1d21818059ade6651bf4a572c428e47801bca859aa8ec22765,2025-03-22 17:55:01
